field_name,type,mode
Last_Outscan_TimeStamp,STRING,NULLABLE
Execution_Status,STRING,NULLABLE
Exception_Name,STRING,NULLABLE
CN_Leg,STRING,NULLABLE
CN_Direction,STRING,NULLABLE
Credit_Note_URL,STRING,NULLABLE
Shipping_Charges_Paid,STRING,NULLABLE
Shipping_Payment_Details,STRING,NULLABLE
Shipping_Payment_Mode,STRING,NULLABLE
Shipping_Transaction_ID,STRING,NULLABLE
Payment_Cleared,BOOLEAN,NULLABLE
Delivery_Trip_No,STRING,NULLABLE
Pickup_Trip_No_,STRING,NULLABLE
MM_trip_No,STRING,NULLABLE
Forward_Reference_Number,STRING,NULLABLE
Handed_Over_to_3PL,BOOLEAN,NULLABLE
Destination_Address_1,STRING,NULLABLE
Latest_Event_Notes,STRING,NULLABLE
Consignee_Code,STRING,NULLABLE
Consignor_Code,STRING,NULLABLE
First_Inscan_at_Hub_Time,STRING,NULLABLE
Actual_Pickup_Lat,FLOAT,NULLABLE
Actual_Pickup_Long,FLOAT,NULLABLE
Actual_Delivery_Lat,FLOAT,NULLABLE
Actual_Delivery_Long,FLOAT,NULLABLE
Punched_Pickup_Lat,STRING,NULLABLE
Punched_Pickup_Long,STRING,NULLABLE
Punched_Delivered_Lat,FLOAT,NULLABLE
Punched_Delivered_Long,FLOAT,NULLABLE
Is_Hand_Delivered,STRING,NULLABLE
Payment_Cleared_Date,STRING,NULLABLE
Delivery_Location,STRING,NULLABLE
Remittance_Status,STRING,NULLABLE
Bank_Settlement_Status,STRING,NULLABLE
COD_Settlement_Status,STRING,NULLABLE
Latest_CNV_Done_By,STRING,NULLABLE
First_Unsuccessful_PickUp_Attempt_Lng,STRING,NULLABLE
First_Unsuccessful_PickUp_Attempt_Lat,STRING,NULLABLE
First_Unsuccessful_Delivery_Attempt_Lat,FLOAT,NULLABLE
First_Unsuccessful_Delivery_Attempt_Lng,FLOAT,NULLABLE
Type_Of_Delivery,STRING,NULLABLE
Kirana_Hub_Code,STRING,NULLABLE
Delivered_to_Store,BOOLEAN,NULLABLE
Rider_Name,STRING,NULLABLE
Pickup_Worker_Name,STRING,NULLABLE
Pickup_Worker_Code,STRING,NULLABLE
Customer_Civil_Id,STRING,NULLABLE
Receiver_Civil_Id,STRING,NULLABLE
Call_Log_Status,STRING,NULLABLE
Call_Status,STRING,NULLABLE
Invoice_Number,STRING,NULLABLE
Commodity_Name,STRING,NULLABLE
Request_Status,STRING,NULLABLE
Updated_Destination_Address,STRING,NULLABLE
Scheduled_At,TIMESTAMP,NULLABLE
Arrival_Time,TIMESTAMP,NULLABLE
Rescheduled_Timeslot,STRING,NULLABLE
Carrier_Account,STRING,NULLABLE
Paid_By_Cash,FLOAT,NULLABLE
Paid_By_Card,FLOAT,NULLABLE
IMEI_1,STRING,NULLABLE
Device_1,STRING,NULLABLE
IMEI_2,STRING,NULLABLE
Device_2,STRING,NULLABLE
IMEI_3,STRING,NULLABLE
Device_3,STRING,NULLABLE
SIM_Number,STRING,NULLABLE
First_Delivery_Attempt_NDR,STRING,NULLABLE
Second_Delivery_Attempt_NDR,STRING,NULLABLE
Third_Delivery_Attempt_NDR,STRING,NULLABLE
Model_Code,STRING,NULLABLE
Item_Category,STRING,NULLABLE
Item_Size,STRING,NULLABLE
PGI_Event_Time,STRING,NULLABLE
Delivered_Time,TIMESTAMP,NULLABLE
Document_Link,STRING,NULLABLE
Bag_Reference_Number,STRING,NULLABLE
External_Status,STRING,NULLABLE
Vat_Charge,STRING,NULLABLE
Proof_of_Pickup_Image,STRING,NULLABLE
Promised_Delivery_Date,STRING,NULLABLE
RIBD,STRING,NULLABLE
Third_Party_Rider_Name,STRING,NULLABLE
Third_Party_Rider_Phone,STRING,NULLABLE
Is_Dangerous_Good,STRING,NULLABLE
Is_Cold_Storage,STRING,NULLABLE
Allocation_Tags,STRING,NULLABLE
Call_Reschedule_Date,STRING,NULLABLE
Quantity,STRING,NULLABLE
Rider_Comment,STRING,NULLABLE
AK_Number,STRING,NULLABLE
Remittance_Bank_Transaction_Id,STRING,NULLABLE
CN_Volume__in_m___,STRING,NULLABLE
Input_CN_Volume__in_m___,STRING,NULLABLE
Partial_Pickedup,BOOLEAN,NULLABLE
Job_Status,STRING,NULLABLE
COD_Currency,STRING,NULLABLE
Card_Network,STRING,NULLABLE
Card_Transaction_Id,STRING,NULLABLE
Movement_Classification,STRING,NULLABLE
Latest_Delivery_Geocode_Difference__In_KM_,FLOAT,NULLABLE
Latest_Pickup_Geocode_Difference__In_KM_,STRING,NULLABLE
Delivery_Worker_Name,STRING,NULLABLE
Delivery_Worker_Code,STRING,NULLABLE
